Pest/Disease Name,Symptoms,Organic Medicine & Application,Inorganic Medicine & Application,Homemade Remedy & Application
Background without leaves,"Infestation of Background without leaves causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Ceroplastes rubens,"Infestation of Ceroplastes rubens causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Chlumetia transversa,"Infestation of Chlumetia transversa causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Cicadella viridis,"Infestation of Cicadella viridis causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Colomerus vitis,"Infestation of Colomerus vitis causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Dacus dorsalisHendel,"Infestation of Dacus dorsalisHendel causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Dasineura sp,"Infestation of Dasineura sp causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Deporaus marginatus Pascoe,"Infestation of Deporaus marginatus Pascoe causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Erythroneura apicalis,"Infestation of Erythroneura apicalis causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Locustoidea,"Infestation of Locustoidea causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
